"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","111.46","111.57","111.79","110.26","10.29M","0.63%"
"Feb 23, 2021","110.76","109.47","111.02","108.77","11.76M","2.32%"
"Feb 22, 2021","108.25","109.99","110.11","107.47","26.83M","-4.89%"
"Feb 19, 2021","113.82","113.98","114.75","113.35","7.26M","-0.69%"
"Feb 18, 2021","114.61","115.75","116.25","114.01","8.33M","-1.08%"
"Feb 17, 2021","115.86","114.53","116.01","114.34","5.36M","0.70%"
"Feb 12, 2021","115.05","114.29","115.26","113.66","6.64M","0.13%"
"Feb 11, 2021","114.90","114.73","115.80","114.05","8.34M","0.86%"
"Feb 10, 2021","113.92","115.28","115.28","113.45","9.29M","-0.86%"
"Feb 09, 2021","114.91","114.91","115.46","113.78","3.46M","-0.23%"
"Feb 08, 2021","115.18","115.41","116.32","114.60","3.92M","-0.55%"
"Feb 05, 2021","115.82","115.33","116.59","114.90","8.10M","1.05%"
"Feb 04, 2021","114.62","115.58","116.12","114.37","8.04M","-0.55%"
"Feb 03, 2021","115.25","114.40","115.78","114.30","10.53M","1.23%"
"Feb 02, 2021","113.85","114.50","115.35","113.25","8.35M","0.70%"
"Feb 01, 2021","113.06","112.65","113.50","111.33","7.53M","2.26%"
"Jan 29, 2021","110.56","113.09","114.03","110.55","11.36M","-3.45%"
"Jan 28, 2021","114.51","111.28","114.90","111.28","10.57M","3.20%"
"Jan 27, 2021","110.96","111.70","113.45","110.53","9.38M","-1.00%"
"Jan 26, 2021","112.08","112.91","114.69","111.70","8.01M","-0.97%"
"Jan 22, 2021","113.18","112.22","113.50","111.70","7.59M","-0.55%"
"Jan 21, 2021","113.81","114.98","115.66","113.27","6.95M","-1.24%"
"Jan 20, 2021","115.24","116.70","116.90","114.18","6.83M","-0.66%"
"Jan 19, 2021","116.00","117.38","117.53","114.73","8.07M","-0.46%"
"Jan 18, 2021","116.54","116.71","118.11","116.48","6.89M","0.66%"
"Jan 15, 2021","115.78","117.50","117.69","115.66","8.90M","-2.44%"
"Jan 14, 2021","118.68","118.27","119.29","117.84","5.19M","1.12%"
"Jan 13, 2021","117.36","119.44","119.44","116.42","10.32M","-1.75%"
"Jan 12, 2021","119.45","118.79","119.93","118.57","6.68M","0.70%"
"Jan 11, 2021","118.62","119.05","120.15","117.81","9.15M","-1.48%"
"Jan 08, 2021","120.40","118.49","120.66","117.72","11.96M","1.71%"
"Jan 07, 2021","118.37","114.86","118.37","114.86","9.25M","3.33%"
"Jan 06, 2021","114.55","114.56","116.40","114.34","9.09M","-0.12%"
"Jan 05, 2021","114.69","114.00","115.33","112.33","9.62M","0.53%"
"Jan 04, 2021","114.09","115.60","115.86","113.58","8.49M","-0.49%"
